id,gender,age,education,city,country
0,0,36,среднее,1201,32
4,0,35,среднее,1134,32
6,1,52,среднее,1188,32
7,0,37,среднее,1198,32
9,0,48,среднее,1134,32
11,0,39,среднее,1190,32
12,1,44,среднее,1134,32
13,0,40,среднее,1155,32
17,0,49,среднее,1198,32
18,1,53,среднее,1188,32
20,0,33,среднее,574,32
21,0,19,высшее,1198,32
23,1,44,среднее,1178,32
24,1,40,среднее,1178,32
25,1,20,высшее,1157,32
26,1,44,среднее,1203,32
27,1,17,высшее,1137,32
30,1,37,среднее,1201,32
32,0,50,среднее,1204,32
36,0,55,среднее,1157,32
39,1,21,высшее,1188,32
40,1,35,высшее,1188,32
41,1,34,среднее,1134,32
43,1,38,среднее,1134,32
45,1,29,высшее,1187,32
49,1,62,среднее,1181,32
50,0,41,среднее,1172,32
52,1,35,среднее,1204,32
54,1,31,среднее,1162,32
55,0,43,среднее,1134,32
56,0,34,среднее,1185,32
58,0,34,среднее,1177,32
59,1,39,среднее,1203,32
60,1,35,среднее,1134,32
67,1,38,среднее,1168,32
68,0,31,среднее,1177,32
70,0,31,высшее,1185,32
74,1,41,среднее,1204,32
76,0,34,среднее,1207,32
81,1,31,среднее,1166,32
82,1,16,высшее,1191,32
83,1,38,среднее,1134,32
85,0,39,среднее,1187,32
87,0,52,среднее,1202,32
88,0,37,среднее,1188,32
89,0,32,среднее,1181,32
91,1,20,высшее,1179,32
92,0,48,среднее,1190,32
93,1,48,среднее,1179,32
94,0,21,высшее,913,32
95,0,48,среднее,1204,32
96,1,18,высшее,1190,32
97,0,38,среднее,1188,32
98,0,31,среднее,1134,32
99,0,62,среднее,1134,32
100,0,30,высшее,1157,32
101,0,33,среднее,1134,32
103,1,23,высшее,1154,32
104,0,25,высшее,1179,32
105,1,33,среднее,1134,32
110,0,48,высшее,338,38
111,1,29,среднее,1134,32
112,1,18,высшее,74,32
113,0,42,среднее,1188,32
116,0,32,среднее,1205,32
122,1,55,среднее,1188,32
123,1,42,среднее,1188,32
127,1,24,высшее,1134,32
129,1,62,среднее,1178,32
130,0,63,среднее,1134,32
131,1,34,среднее,1134,32
135,0,45,среднее,1185,32
138,1,44,среднее,1134,32
141,1,31,среднее,1134,32
142,0,62,среднее,1188,32
143,1,34,среднее,1201,32
148,0,40,среднее,1134,32
149,1,19,высшее,1188,32
150,0,36,среднее,1188,32
152,1,33,среднее,1167,32
153,1,56,среднее,1207,32
160,0,43,среднее,1159,32
162,1,44,среднее,1157,32
164,1,40,среднее,1188,32
168,0,32,среднее,1134,32
174,1,58,среднее,1167,32
176,1,35,среднее,1134,32
178,1,22,среднее,1201,32
183,1,20,высшее,1190,32
184,0,34,среднее,1134,32
189,1,31,высшее,1168,32
190,1,34,среднее,1188,32
192,1,45,среднее,1134,32
193,1,21,высшее,1141,32
197,1,50,среднее,1168,32
199,1,34,среднее,1201,32
200,1,16,высшее,1142,32
201,1,21,высшее,1180,32
202,1,39,среднее,1134,32
205,0,39,среднее,1134,32
206,0,37,среднее,1134,32
209,1,34,среднее,1177,32
211,0,47,среднее,1150,32
215,1,24,высшее,1201,32
216,1,27,среднее,1134,32
217,0,24,высшее,1134,32
219,1,23,высшее,1150,32
220,0,51,среднее,1201,32
223,0,28,среднее,1188,32
224,1,43,среднее,1134,32
225,0,26,среднее,1134,32
233,1,33,среднее,1187,32
235,1,54,среднее,1134,32
236,1,36,среднее,1160,32
238,1,44,среднее,1134,32
239,1,31,среднее,1188,32
240,0,36,среднее,1134,32
243,1,42,среднее,1188,32
245,0,54,среднее,1179,32
250,1,16,высшее,1202,32
251,1,32,среднее,1204,32
254,1,28,среднее,1134,32
255,1,28,среднее,1199,32
258,0,39,высшее,1177,32
261,0,17,высшее,1188,32
263,0,37,среднее,609,32
265,1,18,высшее,1134,32
266,1,53,среднее,1154,32
267,1,38,среднее,1134,32
271,1,50,среднее,1188,32
272,0,55,среднее,1186,32
274,1,19,высшее,1157,32
276,0,23,высшее,1134,32
281,1,34,среднее,1151,32
282,1,42,среднее,1157,32
287,1,54,среднее,1134,32
291,1,21,высшее,3,35
297,1,23,высшее,1165,32
298,0,51,среднее,1178,32
300,1,19,высшее,1185,32
303,1,23,высшее,1157,32
304,0,31,среднее,1201,32
305,0,38,среднее,1188,32
306,1,42,среднее,1134,32
309,0,29,среднее,1179,32
310,0,33,среднее,1134,32
311,0,40,среднее,1134,32
312,0,37,среднее,1157,32
313,1,37,среднее,1188,32
315,0,34,среднее,1134,32
316,1,18,высшее,1177,32
317,1,42,среднее,1134,32
321,1,48,среднее,1188,32
322,0,37,среднее,1134,32
324,0,35,среднее,1204,32
325,1,49,среднее,1134,32
326,0,42,среднее,1196,32
327,1,37,среднее,1134,32
328,0,47,среднее,1186,32
329,0,36,среднее,1134,32
331,1,54,среднее,1188,32
332,0,40,среднее,1134,32
333,0,45,среднее,1177,32
335,1,57,среднее,1188,32
336,1,22,высшее,1188,32
337,0,49,высшее,1194,32
339,0,34,среднее,1134,32
340,1,37,среднее,1185,32
349,1,28,среднее,1134,32
350,0,44,среднее,1134,32
351,1,26,высшее,1175,32
353,1,32,среднее,1180,32
355,1,19,высшее,1177,32
357,0,11,среднее,1134,32
358,1,31,среднее,1186,32
359,0,44,среднее,1188,32
360,1,30,среднее,1188,32
361,0,46,среднее,1134,32
362,1,30,среднее,1177,32
364,1,37,среднее,1157,32
368,1,34,среднее,1161,32
374,1,37,среднее,1168,32
376,1,21,высшее,1204,32
377,0,30,среднее,1134,32
380,0,35,среднее,1188,32
381,1,65,среднее,1188,32
382,0,46,среднее,1195,32
384,0,46,среднее,1199,32
387,1,39,среднее,1173,32
390,1,38,среднее,33,32
392,0,26,среднее,1134,32
393,0,45,среднее,1188,32
395,0,45,среднее,1187,32
397,1,39,среднее,1142,32
398,1,29,среднее,1167,32
400,0,35,среднее,1204,32
401,1,35,среднее,1188,32
402,1,45,среднее,1192,32
404,0,44,среднее,1134,32
406,0,38,среднее,1134,32
409,0,38,среднее,1152,32
411,1,30,среднее,48,5
415,0,27,среднее,1134,32
416,1,20,высшее,1134,32
418,0,42,среднее,1181,32
421,1,43,среднее,1162,32
422,0,24,высшее,1188,32
427,1,44,среднее,1157,32
431,1,41,среднее,1134,32
432,1,53,среднее,501,32
433,1,35,среднее,1173,32
436,0,24,высшее,1183,32
440,1,38,среднее,1168,32
441,1,31,среднее,1134,32
442,0,54,среднее,1156,32
444,1,20,высшее,1134,32
445,0,37,среднее,1134,32
451,1,16,высшее,1163,32
452,1,18,высшее,1141,32
453,0,33,среднее,1188,32
455,1,37,среднее,1188,32
456,0,37,среднее,1201,32
458,0,48,среднее,1134,32
459,1,34,высшее,1134,32
460,0,43,высшее,1177,32
461,1,40,среднее,1201,32
463,1,24,высшее,1168,32
464,0,55,среднее,1134,32
466,0,39,среднее,1195,32
469,0,21,высшее,1134,32
470,1,28,среднее,1134,32
472,0,47,высшее,1197,32
473,1,29,среднее,574,32
476,0,50,среднее,1188,32
478,1,22,высшее,1200,32
481,0,40,среднее,1134,32
484,0,49,среднее,218,32
487,1,46,среднее,1134,32
490,1,42,среднее,1212,32
493,1,13,среднее,1180,32
494,1,53,среднее,9,32
495,1,66,среднее,1134,32
497,0,66,среднее,1134,32
498,1,44,среднее,1134,32
499,1,22,высшее,1187,32
502,1,64,среднее,1134,32
503,1,24,высшее,1176,32
506,1,19,высшее,1134,32
507,0,43,среднее,1,32
508,0,37,среднее,73,32
509,1,38,среднее,73,32
511,0,66,среднее,1157,32
513,1,44,среднее,1188,32
515,1,43,среднее,1167,32
516,0,37,среднее,1134,32
517,0,34,среднее,0,32
520,1,38,среднее,1142,32
522,0,53,среднее,1201,32
524,1,46,среднее,1183,32
525,1,37,среднее,1134,32
526,0,36,среднее,1185,32
529,0,37,среднее,1151,32
532,0,51,высшее,1182,32
533,0,30,среднее,1188,32
535,0,42,среднее,1185,32
536,1,26,среднее,1192,32
538,1,51,среднее,1134,32
539,0,49,среднее,12,38
545,0,60,среднее,1134,32
546,1,24,высшее,1162,32
547,1,50,среднее,1198,32
549,1,51,среднее,1153,32
552,1,51,среднее,1167,32
553,1,40,среднее,1134,32
555,0,28,среднее,1155,32
557,0,45,среднее,1156,32
558,0,41,среднее,1195,32
559,0,34,среднее,1157,32
560,1,50,среднее,1134,32
561,1,56,среднее,1176,32
562,1,51,среднее,1134,32
566,0,35,среднее,1178,32
567,1,48,среднее,1165,32
568,1,54,среднее,1188,32
571,0,33,среднее,1183,32
572,0,22,высшее,1155,32
573,0,29,высшее,1183,32
574,0,71,среднее,1168,32
575,0,34,среднее,1178,32
